City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,jianshui,23.6363,102.8264,14.36,83,21,1.05,CN,1701047371
83,ketchikan,55.3422,-131.6461,6.33,100,100,5.14,US,1701047371
84,waitangi,-43.9535,-176.5597,16.01,97,88,8.8,NZ,1701047372
85,masina,-4.3836,15.3914,21.99,96,99,0.31,CD,1701047372
86,anadyr,64.75,177.4833,0.56,100,75,16.99,RU,1701047372
87,taghazout,30.5426,-9.7112,13.43,67,7,2.84,MA,1701047373
88,saint-philippe,-21.3585,55.7679,22.77,75,1,2.77,RE,1701047373
89,khanbari,27.3747,87.2039,14.72,62,47,1.67,NP,1701047373
90,makurazaki,31.2667,130.3167,16.04,81,69,4.05,JP,1701047170
91,qamdo,31.1667,97.2333,-7.37,21,36,0.62,CN,1701047374
92,cockburn town,21.4612,-71.1419,27.04,73,1,8.08,TC,1701047374
93,mocorito,25.4833,-107.9167,23.45,62,100,1.63,MX,1701047374
94,pangoa,-12.1167,-73.0,19.39,99,100,0.29,PE,1701047374
95,keflavik,64.0049,-22.5624,5.24,100,100,6.69,IS,1701047374
96,ihosy,-22.4,46.1167,20.99,90,26,1.61,MG,1701047245
97,coronel du graty,-27.6804,-60.9146,23.34,94,100,4.89,AR,1701047375
98,navirai,-23.065,-54.1906,19.31,98,100,2.26,BR,1701047375
99,castro,-24.7911,-50.0119,13.34,98,100,1.95,BR,1701047375
100,port elizabeth,-33.918,25.5701,20.73,63,0,0.89,ZA,1701047375
101,san clemente,33.427,-117.612,16.84,52,100,0.89,US,1701047129
102,choyr,46.3611,108.3611,-16.03,83,3,7.41,MN,1701047376
103,clorinda,-25.2848,-57.7185,24.09,98,100,3.2,AR,1701047376
104,kavaratti,10.5669,72.642,28.63,69,3,2.32,IN,1701047376
105,la passe,45.5549,-0.8967,3.13,62,100,2.59,FR,1701047376
106,el charco,2.4769,-78.1105,25.45,90,100,0.98,CO,1701047176
107,lichinga,-13.3128,35.2406,19.09,64,98,3.1,MZ,1701047377
108,kununurra,-15.7667,128.7333,31.99,58,12,1.54,AU,1701047159
109,chernyshevskiy,63.0128,112.4714,-23.97,99,90,1.69,RU,1701047377
110,careiro da varzea,-3.2003,-59.8119,25.34,78,99,0.48,BR,1701047377
111,flying fish cove,-10.4217,105.6791,25.82,73,100,4.63,CX,1701047377
112,margaret river,-33.95,115.0667,21.0,72,100,3.76,AU,1701047377
113,puerto madryn,-42.7692,-65.0385,14.14,52,92,6.14,AR,1701047378
114,malango,-2.9627,119.9001,25.35,78,89,0.76,ID,1701047378
115,isangel,-19.55,169.2667,29.06,48,75,5.14,VU,1701047268
116,mugia,43.1041,-9.2179,14.33,88,100,6.4,ES,1701047378
117,basoko,1.2391,23.616,21.9,92,100,1.55,CD,1701047378
118,wajir,1.7471,40.0573,26.05,76,100,3.57,KE,1701047379
119,zhob,31.3411,69.4481,7.7,47,0,0.67,PK,1701047379
120,vorgashor,67.5833,63.95,-20.51,100,76,1.55,RU,1701047379
121,ajdabiya,30.7554,20.2263,17.66,47,100,3.96,LY,1701047379
122,itupiranga,-5.1347,-49.3267,27.18,88,35,1.4,BR,1701047379
123,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,63,75,7.15,RU,1701047380
124,luang prabang,19.8856,102.1347,20.19,80,48,1.12,LA,1701047380
125,katabu,-4.9333,122.5167,31.63,57,100,0.81,ID,1701047380
126,kapuskasing,49.4169,-82.4331,-1.28,97,100,2.7,CA,1701047380
127,mar del plata,-38.0023,-57.5575,23.62,58,20,7.24,AR,1701047380
128,fomboni,-12.28,43.7425,27.65,71,87,1.23,KM,1701047381
129,hithadhoo,-0.6,73.0833,27.64,74,14,1.59,MV,1701047381
130,ujae,8.9322,165.7642,27.97,80,23,9.48,MH,1701047381
131,antsiranana,-12.2787,49.2917,24.9,80,100,5.3,MG,1701047246
132,tura,25.5198,90.2201,16.41,64,6,1.23,IN,1701047381
133,yelabuga,55.7613,52.0649,1.75,86,100,3.9,RU,1701047381
134,wailua homesteads,22.0669,-159.378,23.33,87,75,7.2,US,1701047382
135,tokar,18.4254,37.729,27.2,74,29,4.46,SD,1701047382
136,ola,59.5833,151.2833,-16.77,76,100,5.47,RU,1701047382
137,bureya,49.8133,129.8131,-20.86,98,85,1.45,RU,1701047382
138,bodo,67.28,14.405,-3.99,80,0,8.23,NO,1701047382
139,punta arenas,-53.15,-70.9167,8.06,61,20,7.2,CL,1701047181
140,midvagur,62.0511,-7.1939,4.46,87,75,2.57,FO,1701047382
141,zaslawye,54.0143,27.2695,-5.57,96,100,5.24,BY,1701047383
142,gazli,40.1333,63.45,16.28,49,99,5.73,UZ,1701047383
143,stanley,54.868,-1.6985,2.76,95,75,0.0,GB,1701047383
144,taro,-8.3862,115.28,23.81,58,85,1.03,ID,1701047383
145,zhanaozen,43.3,52.8,10.19,75,0,7.8,KZ,1701047383
146,walvis bay,-22.9575,14.5053,15.61,82,85,1.21,NA,1701047384
147,shijiazhuang,38.0414,114.4786,5.77,38,0,1.1,CN,1701047384
148,mandera,3.9366,41.867,27.03,64,73,2.83,KE,1701047384
149,mbanza-ngungu,-5.25,14.8667,20.32,97,100,1.02,CD,1701047384
150,uturoa,-16.7333,-151.4333,26.59,78,18,8.07,PF,1701047384
151,port alfred,-33.5906,26.891,17.88,98,0,1.97,ZA,1701047384
152,billingshurst,51.0192,-0.4541,10.14,100,100,5.53,GB,1701047385
153,cidreira,-30.1811,-50.2056,20.7,83,1,9.64,BR,1701047385
154,rundu,-17.9333,19.7667,22.64,65,100,0.57,NA,1701047385
